E:/PythonProject/get12306/get_all_train.py:28: DeprecationWarning: use options instead of chrome_options
  browser = webdriver.Chrome(chrome_options=chrome_options)
['4032', '哈尔滨东', '五常', '哈尔滨东', '牛家', '', '', '', '', '?84.5', '?55.0', '', '?9.0', '?9.0']
['4032', '哈尔滨东', '五常', '哈尔滨东', '拉林', '', '', '', '', '?87.5', '?56.5', '', '?10.5', '?10.5']
['4032', '哈尔滨东', '五常', '哈尔滨东', '背荫河', '', '', '', '', '?88.5', '?58.5', '', '?12.5', '?12.5']
['4032', '哈尔滨东', '五常', '哈尔滨东', '安家', '', '', '', '', '?94.5', '?60.5', '', '?14.5', '?14.5']
['4032', '哈尔滨东', '五常', '哈尔滨东', '五常', '', '', '', '', '?95.5', '?62.5', '', '?16.5', '?16.5']
['4032', '哈尔滨东', '五常', '孙家', '平房', '', '', '', '', '?76.0', '?52.0', '', '?6.0', '?6.0']
['4032', '哈尔滨东', '五常', '孙家', '周家', '', '', '', '', '?78.0', '?53.0', '', '?7.0', '?7.0']
['4032', '哈尔滨东', '五常', '孙家', '牛家', '', '', '', '', '?81.5', '?55.0', '', '?9.0', '?9.0']
['4032', '哈尔滨东', '五常', '孙家', '拉林', '', '', '', '', '?85.5', '?56.5', '', '?10.5', '?10.5']
['4032', '哈尔滨东', '五常', '孙家', '背荫河', '', '', '', '', '?87.5', '?56.5', '', '?10.5', '?10.5']
['4032', '哈尔滨东', '五常', '孙家', '安家', '', '', '', '', '?88.5', '?58.5', '', '?12.5', '?12.5']
['4032', '哈尔滨东', '五常', '孙家', '五常', '', '', '', '', '?94.5', '?60.5', '', '?14.5', '?14.5']
['4032', '哈尔滨东', '五常', '平房', '周家', '', '', '', '', '?76.0', '?52.0', '', '?6.0', '?6.0']
['4032', '哈尔滨东', '五常', '平房', '牛家', '', '', '', '', '?78.0', '?53.0', '', '?7.0', '?7.0']
['4032', '哈尔滨东', '五常', '平房', '拉林', '', '', '', '', '?81.5', '?55.0', '', '?9.0', '?9.0']
['4032', '哈尔滨东', '五常', '平房', '背荫河', '', '', '', '', '?84.5', '?55.0', '', '?9.0', '?9.0']
['4032', '哈尔滨东', '五常', '平房', '安家', '', '', '', '', '?87.5', '?56.5', '', '?10.5', '?10.5']
['4032', '哈尔滨东', '五常', '平房', '五常', '', '', '', '', '?88.5', '?58.5', '', '?12.5', '?12.5']
['4032', '哈尔滨东', '五常', '周家', '牛家', '', '', '', '', '?76.0', '?52.0', '', '?6.0', '?6.0']
['4032', '哈尔滨东', '五常', '周家', '拉林', '', '', '', '', '?79.5', '?53.0', '', '?7.0', '?7.0']
['4032', '哈尔滨东', '五常', '周家', '背荫河', '', '', '', '', '?81.5', '?55.0', '', '?9.0', '?9.0']
['4032', '哈尔滨东', '五常', '周家', '安家', '', '', '', '', '?84.5', '?55.0', '', '?9.0', '?9.0']
['4032', '哈尔滨东', '五常', '周家', '五常', '', '', '', '', '?87.5', '?56.5', '', '?10.5', '?10.5']
['4032', '哈尔滨东', '五常', '牛家', '拉林', '', '', '', '', '?76.0', '?52.0', '', '?6.0', '?6.0']
['4032', '哈尔滨东', '五常', '牛家', '背荫河', '', '', '', '', '?78.0', '?53.0', '', '?7.0', '?7.0']
['4032', '哈尔滨东', '五常', '牛家', '安家', '', '', '', '', '?81.5', '?55.0', '', '?9.0', '?9.0']
['4032', '哈尔滨东', '五常', '牛家', '五常', '', '', '', '', '?84.5', '?55.0', '', '?9.0', '?9.0']
['4032', '哈尔滨东', '五常', '拉林', '背荫河', '', '', '', '', '?76.0', '?52.0', '', '?6.0', '?6.0']
['4032', '哈尔滨东', '五常', '拉林', '安家', '', '', '', '', '?78.0', '?53.0', '', '?7.0', '?7.0']
['4032', '哈尔滨东', '五常', '拉林', '五常', '', '', '', '', '?81.5', '?55.0', '', '?9.0', '?9.0']
['4032', '哈尔滨东', '五常', '背荫河', '安家', '', '', '', '', '?76.0', '?52.0', '', '?6.0', '?6.0']
['4032', '哈尔滨东', '五常', '背荫河', '五常', '', '', '', '', '?79.5', '?53.0', '', '?7.0', '?7.0']
